Title,Year,Rating,Genre,Director,Language,Country,Type
Seduced and Abandoned,2013,Not Rated,Documentary,James Toback,English,USA,movie
A Mixture of Madness,2013,TV-MA,"Action, Crime, Drama",Miguel Sapochnik,English,USA,episode
Copperhead,2013,PG-13,Drama,Ronald F. Maxwell,English,USA,movie
Edward Lee's the Bighead,2013,Unrated,Horror,Michael Ling,English,USA,movie
Elaine Stritch: Shoot Me,2013,Not Rated,Documentary,Chiemi Karasawa,English,USA,movie
Ragamuffin,2014,PG-13,"Biography, Drama",David Schultz,English,USA,movie
Hansel & Gretel,2013,PG-13,Horror,Anthony C. Ferrante,English,USA,movie
30 Nights of Paranormal Activity with the Devil Inside the Girl with the Dragon Tattoo,2013,R,Comedy,Craig Moss,English,USA,movie
Lucky Bastard,2014,NC-17,"Crime, Drama, Thriller",Robert Nathan,English,USA,movie
Jezebeth 2 Hour of the Gun,2014,Unrated,"Action, Adventure, Horror",Damien Dante,English,USA,movie
Trust Me,2013,R,"Comedy, Drama",Clark Gregg,English,USA,movie
Lost & Found,2013,TV-14,"Drama, Mystery, Sci-Fi",Howard Deutch,English,USA,episode
Torn and Frayed,2013,TV-14,"Drama, Fantasy, Horror",Robert Singer,English,USA,episode
Runaway,2013,TV-14,"Drama, Mystery, Sci-Fi",Matthew Hastings,English,USA,episode
Summoned,2013,PG-13,"Horror, Mystery, Thriller",Peter Sullivan,English,USA,movie
Lost Souls,2013,TV-14,"Crime, Drama",David Von Ancken,English,USA,episode
Redlands,2014,Unrated,Drama,John Brian King,English,USA,movie
Girl Rising,2013,PG-13,Documentary,Richard Robbins,English,USA,movie
Toy Story of Terror,2013,TV-G,"Animation, Short, Adventure",Angus MacLane,English,USA,movie
Zombie Hunter,2013,Not Rated,"Action, Comedy, Sci-Fi",K. King,English,USA,movie
The Wizards Return: Alex vs. Alex,2013,TV-G,"Adventure, Comedy, Drama",Victor Gonzalez,English,USA,movie
The Big Snag,2013,TV-14,"Drama, Mystery, Sci-Fi",Chris Fisher,English,USA,episode
Witch Graveyard,2013,Unrated,"Fantasy, Horror",Bruno Renat,English,USA,movie
Drinking Buddies,2013,R,"Drama, Romance",Joe Swanberg,English,USA,movie
Battledogs,2013,TV-14,"Action, Horror, Sci-Fi",Alexander Yellen,English,USA,movie
The Siege,2013,TV-14,"Crime, Drama, Mystery",Phil Abraham,English,USA,episode
The Principle,2014,PG,"News, Sci-Fi, Thriller",Katheryne Thomas,English,USA,movie
Road to the Open,2014,PG,"Comedy, Drama",Cole Claassen,English,USA,movie
Eye for an Eye,2013,TV-PG,"Crime, Drama",Alex Zakrzewski,English,USA,episode
The Problem with Honor,2013,Not Rated,"Drama, Sci-Fi, War",William Craft,English,USA,movie
Walk of Shame,2014,R,Comedy,Steven Brill,English,USA,movie
Hateship Loveship,2013,R,Drama,Liza Johnson,English,USA,movie
The Single Moms Club,2014,PG-13,"Comedy, Drama",Tyler Perry,English,USA,movie
And So It Goes,2014,PG-13,"Comedy, Drama, Romance",Rob Reiner,English,USA,movie
Greg Fitzsimmons: Life on Stage,2013,TV-MA,Comedy,Tyler Spindel,English,USA,movie
Left Behind,2014,PG-13,"Action, Sci-Fi, Thriller",Vic Armstrong,English,USA,movie
Days of Wine and Roses,2013,TV-14,"Crime, Drama, Mystery",Eric Laneuville,English,USA,episode
Her Cry: La Llorona Investigation,2013,Not Rated,Horror,Damir Catic,English,USA,movie
The Name Game,2013,TV-MA,"Drama, Fantasy, Horror",Michael Lehmann,English,USA,episode
Spilt Milk,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,English,USA,episode
Madness Ends,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,English,USA,episode
In Living Color,2014,TV-G,Documentary,Michael Nigro,English,USA,episode
Off to See the Wizard,2013,TV-14,"Drama, Mystery, Thriller",Thomas J. Wright,English,USA,episode
Get on Up,2014,PG-13,"Biography, Drama, Music",Tate Taylor,English,USA,movie
The Devil You Know,2013,TV-14,"Drama, Mystery, Thriller",Marita Grabiak,English,USA,episode
Before You Know It,2013,Not Rated,"Documentary, Biography, Drama",PJ Raval,English,USA,movie
Perfect Storm,2013,TV-14,"Drama, Mystery, Sci-Fi",Nelson McCormick,English,USA,episode
Little Red Corvette,2013,TV-14,"Crime, Drama, Mystery",Randall Zisk,English,USA,episode
Field of Lost Shoes,2014,PG-13,"Action, Drama, War",Sean McNamara,English,USA,movie
Here Comes Honey Bye Bye,2013,TV-14,"Comedy, Drama, Romance",Stuart Gillard,English,USA,episode
Skin and Bones,2013,TV-PG,"Crime, Drama",Michael Grossman,English,USA,episode
How to Be a Man,2013,Not Rated,Comedy,Chadd Harbold,English,USA,movie
Drive,2013,TV-14,"Crime, Drama, Mystery",Steven DePaul,English,USA,episode
Palo Alto,2013,R,Drama,Gia Coppola,English,USA,movie
Rob the Mob,2014,R,"Crime, Drama",Raymond De Felitta,English,USA,movie
Mercy,2014,R,"Horror, Thriller",Peter Cornwell,English,USA,movie
Let Me Go,2013,TV-14,"Crime, Drama, Mystery",Nick Gomez,English,USA,episode
Significant Others,2013,TV-PG,"Comedy, Crime, Drama",Holly Dale,English,USA,episode
New York Sour,2013,TV-MA,"Crime, Drama, History",Timothy Van Patten,English,USA,episode
The Stand,2013,TV-14,"Action, Adventure, Drama",Steve Boyum,English,USA,episode
The Pirate Fairy,2014,G,"Animation, Adventure, Fantasy",Peggy Holmes,English,USA,movie
What God Wants,2013,TV-MA,"Horror, Mystery, Thriller",T.J. Scott,English,USA,episode
The Brannigan Account,2014,Unrated,"Comedy, Crime, Drama",Brannigan Carter,English,USA,movie
What God Wants,2013,TV-MA,"Horror, Mystery, Thriller",T.J. Scott,English,USA,episode
Fright Night 2,2013,R,"Comedy, Horror, Thriller",Eduardo Rodriguez,English,USA,movie
The Keeping Room,2014,R,Drama,Daniel Barber,English,USA,movie
The Little Rascals Save the Day,2014,PG,"Comedy, Family",Alex Zamm,English,USA,movie
How to Be a Man,2013,Not Rated,Comedy,Chadd Harbold,English,USA,movie
"First You Dream, Then You Die",2013,TV-14,"Horror, Mystery, Thriller",Tucker Gates,English,USA,episode
"Nice Town You Picked, Norma...",2013,TV-14,"Horror, Mystery, Thriller",Tucker Gates,English,USA,episode
Muscle Shoals,2013,PG,"Documentary, Biography, History",Greg 'Freddy' Camalier,English,USA,movie
"Let Go, Let Gov",2013,TV-MA,"Animation, Comedy",Trey Parker,English,USA,episode
Bill Hicks Lives,2013,Not Rated,Comedy,Jay Douglas Guffey,English,USA,movie
Stretch,2014,R,"Action, Comedy, Thriller",Joe Carnahan,English,USA,movie
Boom De Yah Da,2013,TV-14,"Crime, Drama, Mystery",F�lix Enr�quez Alcal�,English,USA,episode
Parts Per Billion,2014,R,Sci-Fi,Brian Horiuchi,English,USA,movie
The Prophecy of St. Clare,2013,TV-PG,"Drama, Mystery, Thriller",Matt Barber,English,USA,episode
Trust But Verify,2013,TV-14,"Action, Adventure, Crime",Nick Copus,English,USA,episode
Ambushed,2013,R,"Action, Crime, Drama",Giorgio Serafini,English,USA,movie
LARP and the Real Girl,2013,TV-14,"Drama, Fantasy, Horror",Jeannot Szwarc,English,USA,episode
We're Not Not in Kansas Anymore,2013,TV-14,"Comedy, Drama, Romance",Cherie Nowlan,English,USA,episode
The Den,2013,R,"Horror, Thriller",Zachary Donohue,English,USA,movie
Speak No Evil,2013,R,Horror,Roze,English,USA,movie
Kapu,2013,TV-14,"Action, Crime, Drama",Steven DePaul,English,USA,episode
Trial and Error,2013,TV-14,"Drama, Fantasy, Horror",Kevin Parks,English,USA,episode
Broken Horses,2014,R,"Crime, Drama, Mystery",Vidhu Vinod Chopra,English,USA,movie
Night of the Tentacles,2013,Not Rated,Horror,Dustin Mills,English,USA,movie
Don't Be a Dummy,2013,TV-14,"Crime, Drama, Mystery",Michael Schultz,English,USA,episode
An Evergreen Christmas,2014,PG,"Family, Music, Romance",Jeremy Culver,English,USA,movie
Infliction,2013,Not Rated,Horror,Jack Thomas Smith,English,USA,movie
As Time Goes By,2013,TV-14,"Drama, Fantasy, Horror",Serge Ladouceur,English,USA,episode
Birth of the Living Dead,2013,Not Rated,Documentary,Rob Kuhns,English,USA,movie
Mr. Jones,2013,PG-13,"Drama, Horror, Thriller",Karl Mueller,English,USA,movie
Islands in the Stream,2013,TV-PG,"Comedy, Drama, Romance",Joe Lazarov,English,USA,episode
Ephraim's Rescue,2013,PG,"Adventure, Drama, History",T.C. Christensen,English,USA,movie
Alien Abduction,2014,Not Rated,"Horror, Sci-Fi, Thriller",Matty Beckerman,English,USA,movie
Louis C.K. Oh My God,2013,TV-MA,Comedy,Louis C.K.,English,USA,movie
Cold Comes the Night,2013,R,"Crime, Drama, Thriller",Tze Chun,English,USA,movie
Rumors of Wars,2014,PG-13,Thriller,Paul Tomborello,English,USA,movie
Flip the Script,2013,TV-14,"Drama, Mystery, Thriller",Leslie Libman,English,USA,episode
The Monkey's Paw,2013,Not Rated,"Horror, Thriller",Brett Simmons,English,USA,movie
Redwood Highway,2013,PG-13,Drama,Gary Lundgren,English,USA,movie
Bitchcraft,2013,TV-MA,"Drama, Fantasy, Horror",Alfonso Gomez-Rejon,English,USA,episode
Shabbat Shalom,2013,TV-14,"Action, Comedy, Crime",Dennis Smith,English,USA,episode
The Song,2014,PG-13,"Drama, Music, Romance",Richard Ramsey,English,USA,movie
Misery Loves Company,2013,TV-14,"Comedy, Drama, Romance",Anton Cropper,English,USA,episode
Seeing Red,2013,TV-PG,"Drama, Thriller",Rick Bota,English,USA,episode
Age of Dinosaurs,2013,Not Rated,"Action, Sci-Fi",Joseph J. Lawson,English,USA,movie
Vertigo,2013,TV-14,"Action, Adventure, Crime",Wendey Stanzler,English,USA,episode
Assaulted: Civil Rights Under Fire,2013,PG-13,Documentary,Kris Koenig,English,USA,movie
Morbid,2013,Not Rated,Horror,Chuck Conry,English,USA,movie
I Ain't a Judas,2013,TV-MA,"Drama, Horror, Thriller",Greg Nicotero,English,USA,episode
Clear,2013,TV-MA,"Drama, Horror, Thriller",Tricia Brock,English,USA,episode
Arrow on the Doorpost,2013,TV-MA,"Drama, Horror, Thriller",David Boyd,English,USA,episode
Prey,2013,TV-MA,"Drama, Horror, Thriller",Stefan Schwartz,English,USA,episode
This Sorrowful Life,2013,TV-MA,"Drama, Horror, Thriller",Greg Nicotero,English,USA,episode
Welcome to the Tombs,2013,TV-MA,"Drama, Horror, Thriller",Ernest R. Dickerson,English,USA,episode
The Back Nine,2013,TV-PG,"Comedy, Romance",Chris Koch,English,USA,episode
Mother Clubbers,2013,TV-PG,"Comedy, Romance",John Fortenberry,English,USA,episode
Welcome Home,2013,TV-14,"Crime, Drama, Mystery",Joshua Butler,English,USA,episode
Vertigo,2013,TV-14,"Action, Adventure, Crime",Wendey Stanzler,English,USA,episode
Natural Born Wesen,2013,TV-14,"Drama, Fantasy, Horror",Michael W. Watkins,English,USA,episode
Things We Said Today,2013,TV-14,"Drama, Romance",Ron Underwood,English,USA,episode
Death Gone Crazy,2013,TV-14,"Comedy, Crime, Drama",Bill Roe,English,USA,episode
The Missouri Strain,2013,Not Rated,"Short, Drama, Horror",Wes Kotansky Jr.,English,USA,movie
After School Special,2013,TV-14,"Drama, Fantasy, Horror",David Von Ancken,English,USA,episode
Straw,2013,TV-MA,"Crime, Drama, Thriller",Paris Barclay,English,USA,episode
Survival Instincts,2013,TV-14,"Action, Crime, Drama",John F. Showalter,English,USA,episode
Paper Soldiers,2013,TV-14,"Crime, Drama, Mystery",Terrence O'Hara,English,USA,episode
Betrayal,2013,TV-14,"Action, Adventure, Crime",Guy Norman Bee,English,USA,episode
God's Not Dead,2014,PG,Drama,Harold Cronk,English,USA,movie
The Arrangement,2013,TV-14,"Comedy, Drama",Christopher Misiano,English,USA,episode
Walking on a Dream,2013,TV-14,"Drama, Romance",Rob Hardy,English,USA,episode
Face Off,2013,TV-14,"Drama, Fantasy, Horror",Terrence O'Hara,English,USA,episode
Parks and Rehabilitation,2013,TV-14,"Drama, Mystery, Sci-Fi",Larry Teng,English,USA,episode
The Cricket Game,2013,TV-PG,"Adventure, Fantasy, Romance",Dean White,English,USA,episode
The Outsider,2013,TV-PG,"Adventure, Fantasy, Romance",David Solomon,English,USA,episode
100 Degrees Below Zero,2013,Not Rated,"Action, Sci-Fi",R.D. Braunstein,English,USA,movie
Auto Erotic,2013,TV-MA,"Comedy, News",Jim Margolis,English,USA,episode
Hunger in America,2014,Not Rated,Documentary,Zac Adams,English,USA,movie
The Man in Number 9,2013,TV-14,"Horror, Mystery, Thriller",S.J. Clarkson,English,USA,episode
A Boy and His Dog,2013,TV-14,"Horror, Mystery, Thriller",Ed Bianchi,English,USA,episode
Underwater,2013,TV-14,"Horror, Mystery, Thriller",Tucker Gates,English,USA,episode
Midnight,2013,TV-14,"Horror, Mystery, Thriller",Tucker Gates,English,USA,episode
Accused,2013,TV-14,"Drama, Mystery, Sci-Fi",Adam Kane,English,USA,episode
Disappearing Act,2013,TV-PG,"Crime, Drama",Sam Hill,English,USA,episode
By the Gun,2014,R,"Crime, Drama, Thriller",James Mottern,English,USA,movie
Intersection,2013,TV-14,"Action, Crime, Drama",Dwight H. Little,English,USA,episode
Kill House,2013,TV-14,"Crime, Drama, Mystery",Larry Teng,English,USA,episode
Haunting of Cellblock 11,2014,R,"Horror, Thriller",Andrew P. Jones,English,USA,movie
Sabotage,2013,TV-PG,"Drama, Mystery, Thriller",John Scott,English,USA,episode
God's Not Dead,2014,PG,"Comedy, Drama, Family",Harold Cronk,English,USA,movie
Lovesick Blues,2013,TV-PG,"Comedy, Drama, Romance",Ron Lagomarsino,English,USA,episode
Poison Apple,2013,Not Rated,"Short, Family, Fantasy",Dane Neves,English,USA,movie
Born to Race: Fast Track,2014,PG,Action,Alex Ranarivelo,English,USA,movie
All That Remains,2013,TV-14,"Crime, Drama, Mystery",Thomas Gibson,English,USA,episode
Hit and Run,2013,TV-14,"Action, Comedy, Crime",Dennis Smith,English,USA,episode
In the Name of the Brother,2013,TV-PG,"Adventure, Fantasy, Romance",Milan Cheylov,English,USA,episode
Power,2013,TV-PG,"Drama, Mystery, Thriller",Roger Kumble,English,USA,episode
Power,2013,TV-PG,"Drama, Mystery, Thriller",Roger Kumble,English,USA,episode
Old Alabama,2013,TV-PG,"Comedy, Drama, Romance",David Paymer,English,USA,episode
Magnum Opus,2013,TV-14,"Crime, Drama, Mystery",Glenn Kershaw,English,USA,episode
Collaborators,2013,TV-14,Drama,Jon Hamm,English,USA,episode
Come Back to Me,2014,R,Horror,Paul Leyden,English,USA,movie
Hedge Fun,2013,TV-MA,"Comedy, News",Jim Margolis,English,USA,episode
Pubic Hair Crisis,2013,TV-MA,"Comedy, News",Rhys Thomas,English,USA,episode
Shiva,2013,TV-14,"Action, Comedy, Crime",Arvin Brown,English,USA,episode
Jack the Giant Killer,2013,Not Rated,"Action, Fantasy",Mark Atkins,English,USA,movie
Aftermath,2013,TV-14,"Action, Crime, Drama",Brad Turner,English,USA,episode
Wolves at the Gate,2013,TV-MA,"Action, Adventure, Biography",Jesse Warn,English,USA,episode
Men of Honor,2013,TV-MA,"Action, Adventure, Biography",John Fawcett,English,USA,episode
Decimation,2013,TV-MA,"Action, Adventure, Biography",Michael Hurst,English,USA,episode
Blood Brothers,2013,TV-MA,"Action, Adventure, Biography",T.J. Scott,English,USA,episode
Spoils of War,2013,TV-MA,"Action, Adventure, Biography",Mark Beesley,English,USA,episode
Mors Indecepta,2013,TV-MA,"Action, Adventure, Biography",Jesse Warn,English,USA,episode
Separate Paths,2013,TV-MA,"Action, Adventure, Biography",T.J. Scott,English,USA,episode
The Dead and the Dying,2013,TV-MA,"Action, Adventure, Biography",Michael Hurst,English,USA,episode
Victory,2013,TV-MA,"Action, Adventure, Biography",Rick Jacobson,English,USA,episode
The Genoa Tip,2013,TV-14,Drama,Jeremy Podeswa,English,USA,episode
#realness,2013,TV-14,"Comedy, Drama, Romance",Mike Listo,English,USA,episode
Brother from Another Mother,2013,TV-14,"Comedy, Drama, Romance",Benny Boom,English,USA,episode
Strange Brew,2013,TV-14,"Comedy, Drama, Romance",Bethany Rooney,English,USA,episode
Life's a Beach,2013,TV-14,"Comedy, Drama, Romance",Michael Zinberg,English,USA,episode
2 Pi R,2013,TV-PG,"Action, Drama, Mystery",Richard J. Lewis,English,USA,episode
100 Degrees Below Zero,2013,Not Rated,"Action, Sci-Fi",R.D. Braunstein,English,USA,movie
Longshot,2013,TV-14,Drama,Nick Gomez,English,USA,episode
Je Ne Sais What?,2013,TV-14,"Crime, Drama, Mystery",Matt Shakman,English,USA,episode
Hana I Wa 'Ia,2013,TV-14,"Action, Crime, Drama",Larry Teng,English,USA,episode
War,2013,TV-14,"Comedy, Drama",John Scott,English,USA,episode
To Have and to Hold,2013,TV-14,Drama,Michael Uppendahl,English,USA,episode
Hereafter,2013,TV-14,"Action, Comedy, Crime",Tony Wharmby,English,USA,episode
The Odyssey,2013,TV-14,"Action, Adventure, Crime",John Behring,English,USA,episode
The Town That Dreaded Sundown,2014,R,"Horror, Thriller",Alfonso Gomez-Rejon,English,USA,movie
Birdman or (The Unexpected Virtue of Ignorance),2014,R,"Comedy, Drama",Alejandro Gonz�lez I��rritu,English,USA,movie
One Percent,2013,TV-14,"Action, Drama, Mystery",Chris Fisher,English,USA,episode
True Trainwreck,2014,Not Rated,Drama,Mark Donnell,English,USA,movie
Bad Friend,2013,TV-MA,"Comedy, Drama",Jesse Peretz,English,USA,episode
I Get Ideas,2013,TV-MA,"Comedy, Drama",Lena Dunham,English,USA,episode
Circadian Rhythms,2013,TV-14,Drama,Colin Bucksey,English,USA,episode
The End Is the Beginning Is the End,2013,TV-14,"Drama, Romance",Cherie Nowlan,English,USA,episode
"Fit Town, Fat Town",2013,TV-MA,"Comedy, News",Joe Burke,English,USA,episode
Dead Giveaway: The Motion Picture,2014,Not Rated,"Comedy, Crime, Drama",Benjamin M. Allotey,English,USA,movie
Dead Giveaway: The Motion Picture,2014,Not Rated,"Comedy, Crime, Drama",Benjamin M. Allotey,English,USA,movie
Trapped in Time 3D!,2013,Not Rated,Adventure,Matthew Scott King,English,USA,movie
Bad Blood,2013,TV-14,"Drama, Romance",Steve Robin,English,USA,episode
I Get Ideas,2013,TV-MA,"Comedy, Drama",Lena Dunham,English,USA,episode
I Get Ideas,2013,TV-MA,"Comedy, Drama",Lena Dunham,English,USA,episode
Band or DJ?,2013,TV-14,"Comedy, Drama, Romance",Pamela Fryman,English,USA,episode
Two-Bit Waltz,2014,R,"Comedy, Drama, Family",Clara Mamet,English,USA,movie
Dirty Laundry,2013,TV-14,"Crime, Drama, Mystery",John David Coles,English,USA,episode
Serial Nightmares,2013,Not Rated,Horror,Matthew Brooks,English,USA,movie
City of the Dream Demons,2014,Unrated,Horror,Johnny Dickie,English,USA,movie
Wedding Crashers,2013,TV-14,Reality-TV,Tiff Winton,English,USA,episode
The Price of Revenge,2013,TV-14,Drama,Jace Alexander,English,USA,episode
The Egg Salad Equivalency,2013,TV-14,Comedy,Mark Cendrowski,English,USA,episode
Road Trip,2013,TV-14,"Action, Crime, Drama",Fred Toye,English,USA,episode
"The Woman: Chapter One - Ice Cream, Run",2013,Not Rated,"Short, Action, Adventure",Stef�n L.C.,English,USA,movie
West Hollywood Motel,2013,Not Rated,Comedy,Matt Riddlehoover,English,USA,movie
Damn the Torpedoes,2013,TV-14,"Action, Drama, Mystery",Clark Johnson,English,USA,episode
The Pointy End of the Spear,2013,TV-14,"Action, Drama, Mystery",Paris Barclay,English,USA,episode
Recoil,2013,TV-PG,"Comedy, Crime, Drama",Thomas J. Wright,English,USA,episode
The Bag or the Bat,2013,TV-MA,"Crime, Drama",Allen Coulter,English,USA,episode
Take the Vicuna,2013,TV-14,"Comedy, Drama",Chris Eigeman,English,USA,episode
Presumed Guilty,2013,TV-14,"Crime, Drama, Mystery",Courtney Hunt,English,USA,episode
Ovulation,2013,Not Rated,"Drama, Horror, Thriller",Michael Wade Johnson,English,USA,movie
A Beautiful Day,2013,TV-MA,"Crime, Drama, Mystery",Keith Gordon,English,USA,episode
Man's Best Friend with Benefits,2013,TV-14,"Drama, Fantasy, Horror",John F. Showalter,English,USA,episode
Remember the Titans,2013,TV-14,"Drama, Fantasy, Horror",Steve Boyum,English,USA,episode
Every Silver Lining...,2013,TV-MA,"Crime, Drama, Mystery",Michael C. Hall,English,USA,episode
What's Eating Dexter Morgan?,2013,TV-MA,"Crime, Drama, Mystery",Ernest R. Dickerson,English,USA,episode
Scar Tissue,2013,TV-MA,"Crime, Drama, Mystery",Stefan Schwartz,English,USA,episode
This Little Piggy,2013,TV-MA,"Crime, Drama, Mystery",Romeo Tirone,English,USA,episode
A Little Reflection,2013,TV-MA,"Crime, Drama, Mystery",John Dahl,English,USA,episode
Dress Code,2013,TV-MA,"Crime, Drama, Mystery",Alik Sakharov,English,USA,episode
Are We There Yet?,2013,TV-MA,"Crime, Drama, Mystery",Holly Dale,English,USA,episode
Make Your Own Kind of Music,2013,TV-MA,"Crime, Drama, Mystery",John Dahl,English,USA,episode
Goodbye Miami,2013,TV-MA,"Crime, Drama, Mystery",Steve Shill,English,USA,episode
Monkey in a Box,2013,TV-MA,"Crime, Drama, Mystery",Ernest R. Dickerson,English,USA,episode
Remember the Monsters?,2013,TV-MA,"Crime, Drama, Mystery",Steve Shill,English,USA,episode
Harry & Sally,2013,TV-14,Comedy,Michael Spiller,English,USA,episode
Guilt,2013,TV-14,"Crime, Drama, Mystery",Joshua Butler,English,USA,episode
M.,2013,TV-14,"Crime, Drama, Mystery",John Polson,English,USA,episode
Collusion,2013,TV-PG,"Drama, Mystery, Thriller",Matt Shakman,English,USA,episode
Henry Ford,2013,TV-PG,"Documentary, History",Sarah Colt,English,USA,episode
Life After Beth,2014,R,"Comedy, Horror, Romance",Jeff Baena,English,USA,movie
The Chosen One,2013,TV-14,"Crime, Drama, Mystery",Paul A. Kaufman,English,USA,episode
Mindy's Brother,2013,TV-14,Comedy,Michael Spiller,English,USA,episode
The Bakersfield Expedition,2013,TV-14,Comedy,Mark Cendrowski,English,USA,episode
Whiplash,2014,R,"Drama, Music",Damien Chazelle,English,USA,movie
The Fault in Our Stars,2014,PG-13,"Drama, Romance",Josh Boone,English,USA,movie
Controlled Flight Into Terrain,2013,TV-14,"Action, Drama, Mystery",Michael Offer,English,USA,episode
Blind-Sided,2013,TV-14,"Comedy, Drama",David Platt,English,USA,episode
Blood in the Water,2013,TV-14,"Comedy, Drama",Roger Kumble,English,USA,episode
Zane vs. Zane,2013,TV-14,"Comedy, Drama",Nicole Kassell,English,USA,episode
Hostages,2013,TV-MA,Comedy,Chris Addison,English,USA,episode
Pilot,2013,TV-14,"Comedy, Drama",Adam Bernstein,English,USA,episode
Browsers,2013,TV-14,"Comedy, Musical",Don Scardino,English,USA,movie
Dark Minions,2013,TV-14,"Animation, Comedy, Sci-Fi",Ross Shuman,English,USA,movie
Onion News Empire,2013,TV-14,Comedy,Todd Strauss-Schulson,English,USA,movie
Supanatural,2013,TV-14,"Animation, Comedy",Mark Brooks,English,USA,movie
Reality Star Struck,2013,TV-PG,"Comedy, Crime, Drama",Larry Shaw,English,USA,episode
The Slump,2013,TV-PG,"Comedy, Drama, Family",Michael Lembeck,English,USA,episode
Larry Bird Presents an Oscar-Winning Film by Larry Bird,2013,TV-PG,"Comedy, Romance",Lev L. Spiro,English,USA,episode
Welcome to Alancrest,2013,TV-14,Comedy,James Widdoes,English,USA,episode
Grab a Feather and Get in Line,2013,TV-14,Comedy,James Widdoes,English,USA,episode
A Matter of Faith,2014,PG,Drama,Rich Christiano,English,USA,movie
Tiny,2013,TV-PG,"Adventure, Fantasy, Romance",Guy Ferland,English,USA,episode
It's a Shame About Ray,2013,TV-MA,"Comedy, Drama",Jesse Peretz,English,USA,episode
One Man's Trash,2013,TV-MA,"Comedy, Drama",Richard Shepard,English,USA,episode
The Red Barn,2013,TV-14,"Crime, Drama, Mystery",Allison Anders,English,USA,episode
Alive Inside,2014,Not Rated,"Documentary, News",Michael Rossato-Bennett,English,USA,movie
Anthony Jeselnik/Lisa Lampanelli/Bobby Lee,2013,TV-14,"Comedy, Talk-Show",Jay Karas,English,USA,episode
Episode #21.71,2013,TV-14,"Comedy, Music, Talk-Show",Liz Plonka,English,USA,episode
Boys,2013,TV-MA,"Comedy, Drama",Claudia Weill,English,USA,episode
Bunk Bed,2013,TV-14,Comedy,Don Scardino,English,USA,episode
Davis Farm,2014,Not Rated,Drama,Vernon Smith,English,USA,movie
Kathy Griffin: Kennedie Center On-Hers,2013,TV-14,Comedy,Paul Miller,English,USA,movie
Billy Gardell Presents Road Dogs,2013,TV-MA,Comedy,David Higby,English,USA,movie
Dodger,2013,TV-14,"Action, Adventure, Crime",Eagle Egilsson,English,USA,episode
Do Not Disturb,2013,Not Rated,"Horror, Thriller",BC Furtney,English,USA,movie
Instinct,2013,TV-14,"Drama, Mystery, Sci-Fi",Jennifer Chambers Lynch,English,USA,episode
Episode #21.70,2013,TV-14,"Comedy, Music, Talk-Show",Liz Plonka,English,USA,episode
Brave New World,2013,TV-14,"Action, Crime, Drama",Marc David Alpert,English,USA,episode
Black Badge,2013,TV-14,"Action, Crime, Drama",David Grossman,English,USA,episode
The Seven Day Rule,2013,TV-14,"Crime, Drama, Mystery",Michael Zinberg,English,USA,episode
"Red Team, Blue Team",2013,TV-14,"Crime, Drama, Mystery",Jim McKay,English,USA,episode
Signals,2013,TV-MA,Comedy,Chris Addison,English,USA,episode
On Thin Ice,2013,TV-PG,"Drama, Thriller",Mike Rohl,English,USA,episode
Catch Me If You Can,2013,TV-14,"Drama, Fantasy, Horror",John Dahl,English,USA,episode
A Father's Love,2013,TV-14,Comedy,Jake Kasdan,English,USA,episode
Dave Attell/Judah Friedlander/Natasha Leggero,2013,TV-14,"Comedy, Talk-Show",Jay Karas,English,USA,episode
Warm and Dead,2013,TV-14,"Action, Drama",Alik Sakharov,English,USA,episode
Tyler Perry's A Madea Christmas,2013,PG-13,"Comedy, Drama",Tyler Perry,English,USA,movie
Catch Me If You Can,2013,TV-14,"Drama, Fantasy, Horror",John Dahl,English,USA,episode
Frozen Fish Sticks,2013,TV-PG,Drama,Kevin Dowling,English,USA,episode
The Gambler,2013,TV-PG,"Comedy, Drama, Romance",James Hayman,English,USA,episode
Force of Execution,2013,R,"Action, Crime",Keoni Waxman,English,USA,movie
Tough Love,2013,TV-PG,"Drama, Thriller",Bradley Walsh,English,USA,episode
Episode #21.75,2013,TV-14,"Comedy, Music, Talk-Show",Liz Plonka,English,USA,episode
Zugzwang,2013,TV-14,"Crime, Drama, Mystery",Jesse Warn,English,USA,episode
Booked Solid,2013,TV-14,"Action, Drama, Mystery",Fred Toye,English,USA,episode
Episode #21.75,2013,TV-14,"Comedy, Music, Talk-Show",Liz Plonka,English,USA,episode
The Blue Umbrella,2013,G,"Animation, Short",Saschka Unseld,English,USA,movie
But I'm Allergic to Cats,2013,TV-14,Drama,Omar Madha,English,USA,episode
Superman: Unbound,2013,PG-13,"Animation, Action, Adventure",James Tucker,English,USA,movie
An Amish Murder,2013,TV-PG,"Drama, Mystery, Thriller",Stephen Gyllenhaal,English,USA,movie
Red in Tooth and Claw,2013,TV-PG,"Crime, Drama, Mystery",Randall Zisk,English,USA,episode
Red Lacquer Nail Polish,2013,TV-14,"Crime, Drama, Mystery",Geary McLeod,English,USA,episode
"Red, White and Blue",2013,TV-PG,"Crime, Drama, Mystery",Robert Duncan McNeill,English,USA,episode
Behind the Red Curtain,2013,TV-14,"Crime, Drama, Mystery",Chris Long,English,USA,episode
There Will Be Blood,2013,TV-14,"Crime, Drama, Mystery",Anton Cropper,English,USA,episode
