facilityname,type,region,owner,manager
CASCO COVE CGS,AIRPORT,ALEUTIAN ISLANDS,US COAST GUARD 17TH DIST,COMMANDER LORAN STATION
CENTRAL,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
CHALKYITSIK,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,TOM WILLIAMS
CHANDALAR LAKE,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,JEFF RUSSELL
CHANDALAR SHELF,AIRPORT,UPPER YUKON,ALASKA DOT&PF NORTHERN REGION,JEFF RUSSELL
CHATHAM,SEAPLANE BASE,SITKA,CHATHAM CANNERY LTD,AVRUM GROSS
CHEFORNAK,AIRPORT,BETHEL,ALASKA DOT&PF CENTRAL REGION,LJ DAVIS
CHENA HOT SPRINGS,AIRPORT,FAIRBANKS NORTH STAR,RESORT AT CHENA HOT SPRINGS,WILLIAM JOHNSON
CHENEGA BAY,AIRPORT,SEWARD,ALASKA DOT&PF CENTRAL REGION,SEAN MONTGOMERY/CARL HIGH
CHEVAK,AIRPORT,WADE HAMPTON,ALASKA DOT&PF CENTRAL REGION,LAWRENCE DAVIS
COWELL'S,HELIPORT,MATANUSKA-SUSITNA,FULLER A. COWELL,FULLER A. COWELL
CUBDIVISION,AIRPORT,MATANUSKA-SUSITNA,CUBDIVISION LOT OWNERS,LEE BUDDE
EAGLES ROOST,AIRPORT,MATANUSKA-SUSITNA,GUY TURNER,GUY TURNER
ELMENDORF HOSPITAL,HELIPORT,ANCHORAGE,US GOVT USAF,AIRFIELD MANAGER
FALCON LAKE STRIP,AIRPORT,MATANUSKA-SUSITNA,RICHARD W. GATTIS,RICHARD W. GATTIS
FIRE ISLAND,AIRPORT,ANCHORAGE,US GOVT DOT FAA,DISTRICT OFFICE MANAGER
FISHER,AIRPORT,MATANUSKA-SUSITNA,ROBERT B. FISHER,ROBERT B. FISHER
FLYING CROWN,AIRPORT,ANCHORAGE,FLYING CROWN/OCEANVIEW NORTH,CHARLES FRYER
GOLDEN NORTH AIRFIELD,AIRPORT,YUKON-KOYUKUK,DALE NORD,DALE NORD
H & H FIELD,AIRPORT,MATANUSKA-SUSITNA,ROBERT HUTCHISON,ROBERT HUTCHISON
HAGGARDS LANDING SEAPLANE BASE,SEAPLANE BASE,MATANUSKA-SUSITNA,WES ERB,NONE
HANGAR LAKE,SEAPLANE BASE,BETHEL,PUBLIC DOMAIN,NONE
HOPPE'S,SEAPLANE BASE,MATANUSKA-SUSITNA,GREG M. HOPPE,GREG M. HOPPE
HORSESHOE LAKE,SEAPLANE BASE,MATANUSKA-SUSITNA,WILLIAM L. KRAMER,WILLIAM L. KRAMER
KRAMER,AIRPORT,MATANUSKA-SUSITNA,WILLIAM L. KRAMER,WILLIAM L. KRAMER
KUCERA,SEAPLANE BASE,MATANUSKA-SUSITNA,GRACE WHEDBEE,GRACE WHEDBEE
KUCERA RESIDENCE,AIRPORT,MATANUSKA-SUSITNA,GRACE WHEDBEE,GRACE WHEDBEE
LOWELL FIELD,AIRPORT,SEWARD,DAN PRESLEY,DAN PRESLEY
MAC KENZIE COUNTRY AIRPARK,AIRPORT,MATANUSKA-SUSITNA,ELINOR JONES-ELG,ELINOR JONES-ELG
MARION,SEAPLANE BASE,ALEUTIAN ISLANDS,MIKE GRAVES,MIKE GRAVES
OWEN FIELD,AIRPORT,MATANUSKA-SUSITNA,MIKE GRAVES,MIKE GRAVES
POINT MAC,AIRPORT,MATANUSKA-SUSITNA,JOE CIZEK,JOE CIZEK
POINT MACKENZIE,HELIPORT,ANCHORAGE,CHUGACH ELECTRIC ASSN INC,BILL BERNIER VICE PRESIDENT
PROVIDENCE HOSPITAL,HELIPORT,ANCHORAGE,PROVIDENCE HEALTH SYSTEM,VICKI FACIANE
SADDLEBACK ISLAND,HELIPORT,ANCHORAGE,FULLER A. COWELL,FULLER A. COWELL
SKY HARBOR,AIRPORT,ANCHORAGE,SKY HBR PRPTY OWNER ASSOC,GORDON A. LEONARD
TAMGAS HARBOR,SEAPLANE BASE,KETCHIKAN GATEWAY,COUNCIL OF ANNETTE IS,CHIEF OF POLICE
TEAM LEVINE,HELIPORT,MATANUSKA-SUSITNA,LARRY A. LEVINE,LARRY A. LEVINE
TWIN LAKE,AIRPORT,MATANUSKA-SUSITNA,EDMUND MONT MAHONEY,EDMUND MONT MAHONEY
VIKING,HELIPORT,ALEUTIAN ISLANDS,PRUHS CORPORATION,DANA PRUHS
VOR LAKE WATERLANE,SEAPLANE BASE,YUKON-KOYUKUK,STATE OF AK DOTPF N REG,JEREMY WORRALL
WEST BEAVER,SEAPLANE BASE,MATANUSKA-SUSITNA,KEN THORALL,KEN THORALL
WEST BEAVER,AIRPORT,MATANUSKA-SUSITNA,KEN THORALL,KEN THORALL
WILEY POST-WILL ROGERS MEMORIAL,AIRPORT,NORTH SLOPE,ALASKA DOT&PF NORTHERN REGION,JOHN OLSEN
