facilityname,manager,owner
DAVIDSON STRIP,DANNY DAVIDSON,DANNY DAVIDSON
DELTA,DAVID WEBBER,DAVID AND TWYLA WEBBER
DELTA,JACK MORRIS,CITY OF DELTA JUNCTION
DELTA JUNCTION,JACK MORRIS,CITY OF DELTA JUNCTION
DELTA JUNCTION,JACK MORRIS,CITY OF DELTA JUNCTION
DRY BAY,DRY BAY DISTRICT RANGER,GLACIER BAY NATIONAL PARK
EAGLES ROOST,GUY TURNER,GUY TURNER
EASTLAND,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
EASTLAND,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
EEK,DAVID CUMMINGS,ALASKA DOT&PF CENTRAL REGION
EGEGIK,DON STRAND,CITY OF EGEGIK
EGEGIK,DON STRAND,CITY OF EGEGIK
ELMENDORF,AIRFIELD MANAGER,US AIR FORCE
ELMENDORF,AIRFIELD MANAGER,US AIR FORCE
FAIRVIEW,B.H. TILTON,FAIRVIEW EAST
FAIRVIEW,B.H. TILTON,FAIRVIEW EAST
FAIRVIEW,WILLIAM S. JONES,WILLIAM S. JONES
FAIRVIEW,WILLIAM S. JONES,WILLIAM S. JONES
FIRE ISLAND,DAVE DOUCET,US BUREAU OF LAND MANAGEMENT
FIRE ISLAND,DISTRICT OFFICE MANAGER,US FEDERAL AVIATION ASSOCIATION
FIRE ISLAND,NO MANAGER,PUBLIC DOMAIN
FISHER,ROBERT B. FISHER,ROBERT B. FISHER
FLYING CROWN,CHARLES FRYER,FLYING CROWN/OCEANVIEW NORTH
GILMORE STRIP,GINA GILMORE,GINA GILMORE
GLACIERVIEW STRIP,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
GLACIERVIEW STRIP,DOUGLAS SCHADE,GLACIERVIEW FARM LTD PARTNERSHIP
GOLDEN NORTH AIRFIELD,DALE NORD,DALE NORD
GROUSE RIDGE,DAVE & DIANE CROCKETT,DAVE & DIANE CROCKETT
H & H FIELD,ROBERT HUTCHISON,ROBERT HUTCHISON
HAGGARDS LANDING SEAPLANE BASE,WES ERB,WES ERB
HANGAR LAKE,NO MANAGER,PUBLIC DOMAIN
HOPPE'S,GREG M. HOPPE,GREG M. HOPPE
HORSESHOE LAKE,WILLIAM L. KRAMER,WILLIAM L. KRAMER
INIGOK,ARCTIC FLD OFFICE MANAGER,BUREAU OF LAND MANAGEMENT
ISLAND LAKE,CHARLES CENTER,STATE OF AK DNR
ISLAND LAKE,NO MANAGER,PUBLIC DOMAIN
JOHNSONS LANDING,WARREN JOHNSON,PUBLIC DOMAIN
JONES LANDING,ROBERT JONES,STATE OF AK DNR
JUNEAU HARBOR,DAVID BORG--HARBOR MASTER,CITY AND BOROUGH OF JUNEAU
JUNEAU INTL,PATTY WAHTO,CITY OF JUNEAU
JUNEAU INTL,PATTY WAHTO,CITY OF JUNEAU
KAKE,CITY OF KAKE HARBORMASTER,CITY OF KAKE
KAKE,CITY OF KAKE HARBORMASTER,CITY OF KAKE
KAKE,NO MANAGER,PUBLIC DOMAIN
KAKE,NO MANAGER,PUBLIC DOMAIN
KENAI MUNI,MARY BONDURANT,CITY OF KENAI
KENAI MUNI,MARY BONDURANT,CITY OF KENAI
KLAWOCK,BEN FAUST,CITY OF KLAWOCK
KLAWOCK,BEN FAUST,CITY OF KLAWOCK
KLAWOCK,JEFF COMBS,CITY OF KLAWOCK
KLAWOCK,JEFF COMBS,CITY OF KLAWOCK
KODIAK,MARK KOZAK,CITY OF KODIAK PUBLIC WORKS
KODIAK,MARK KOZAK,CITY OF KODIAK PUBLIC WORKS
KRAMER,WILLIAM L. KRAMER,WILLIAM L. KRAMER
KUCERA,GRACE WHEDBEE,GRACE WHEDBEE
KUCERA,GRACE WHEDBEE,GRACE WHEDBEE
LAKE HOOD,TIM COONS,STATE OF ALASKA DOT&PF
LONG LAKE,CHRIS COLLINS,CHRIS COLLINS
LONG LAKE,GEORGE MURPHY,LONG LAKE RESIDENT ORGANIZATION
LONG LAKE,GEORGE MURPHY,LONG LAKE RESIDENT ORGANIZATION
LOWELL FIELD,DAN PRESLEY,DAN PRESLEY
LOWELL FIELD,DAN PRESLEY,DAN PRESLEY
MARION,MIKE GRAVES,MIKE GRAVES
MERRILL FIELD,PAUL BOWERS A.A.E.,MUNICIPALITY OF ANCHORAGE
NIKOLAI,CLARK COX,STATE OF ALASKA DNR
NIKOLAI,STEFFEN STRICK,ALASKA DOT&PF CENTRAL REGION
NIXON FORK MINE,ANCHORAGE DISTRICT MANAGER,BUREAU OF LAND MANAGEMENT
OLD HARBOR,ROBERT GREENE,ALASKA DOT&PF SOUTHCOAST REGION
OLGA BAY,MIKE PEEK,AKHIOK-KAGUYAK INC
OOOGURUK ISLAND,GARY ROSS,CAELUS NATURAL RESOURCES AK LLC
OWEN FIELD,MIKE GRAVES,MIKE GRAVES
PAXSON,BUREAU OF LAND MANAGEMENT,BUREAU OF LAND MANAGEMENT
PROVIDENCE HOSPITAL,VICKI FACIANE,PROVIDENCE HEALTH SYSTEM
SADDLEBACK ISLAND,FULLER A. COWELL,FULLER A. COWELL
SELDOVIA,KEVIN JONES,ALASKA DOT&PF CENTRAL REGION
SELDOVIA,LELA PETERSON,CITY OF SELDOVIA
SITKA,STAN ELIASAN,CITY & BOROUGH OF SITKA
SIXMILE LAKE,MAJOR ROBERT PECK,US AIR FORCE
SKY HARBOR,GORDON A. LEONARD,SKY HBR PRPTY OWNER ASSOC
SKYFLIGHT,DANIEL GRAHAM,DANIEL AND GINA GRAHAM
SOLDOTNA,DAVID L. MCDANIEL,CENTRAL PENINSULA GEN HOSPITAL
SOLDOTNA,KYLE KORNELIS,CITY OF SOLDOTNA
TAKU,JUNEAU DOCKS AND HARBOR DEPARTMENT,CITY AND BOROUGH OF JUNEAU
TAKU,JUNEAU DOCKS AND HARBOR DEPARTMENT,CITY AND BOROUGH OF JUNEAU
TAKU,MIKE WARD,TAKU GLACIER LODGE
TAMGAS HARBOR,CHIEF OF POLICE,COUNCIL OF ANNETTE IS
TANACROSS,BUREAU OF LAND MANAGEMENT,BUREAU OF LAND MANAGEMENT
TAZLINA,ARTHUR WIKLE,ARTHUR WIKLE
TAZLINA,JOHN HOFFMAN,ALASKA DOT&PF NORTHERN REGION
TEAM LEVINE,LARRY A. LEVINE,LARRY A. LEVINE
TED STEVENS ANCHORAGE INTL,JOHN PARROTT,STATE OF ALASKA DOT&PF
THOMAS STRIP,DANIEL & LAURA THOMAS,DANIEL & LAURA THOMAS
TRIDENT BASIN,MARK KOZAK,CITY OF KODIAK PUBLIC WORKS
TRIPOD,NO MANAGER,PUBLIC DOMAIN
TUNTUTULIAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
TUNTUTULIAK,LAWRENCE DAVIS,ALASKA DOT&PF CENTRAL REGION
TUNTUTULIAK,NO MANAGER,PUBLIC DOMAIN
TUNTUTULIAK,NO MANAGER,PUBLIC DOMAIN
TWIN LAKE,EDMUND MONT MAHONEY,EDMUND MONT MAHONEY
TWIN LAKE,EDMUND MONT MAHONEY,EDMUND MONT MAHONEY
UMIAT,TOM WILLIAMS,ALASKA DOT&PF NORTHERN REGION
UNALAKLEET,JOHN WILSON,ALASKA DOT&PF NORTHERN REGION
UNALASKA,DALE RUCKMAN,ALASKA DOT&PF SOUTHCOAST REGION
VIKING,DANA PRUHS,PRUHS CORPORATION
WAINWRIGHT,CHUCK MILLER,OLGOONIK CORPORATION
WAINWRIGHT,CHUCK MILLER,OLGOONIK CORPORATION
WAINWRIGHT,TOM D. NICOLOS,NORTH SLOPE BOROUGH
WAINWRIGHT,TOM D. NICOLOS,NORTH SLOPE BOROUGH
WEST BEAVER,KEN THORALL,KEN THORALL
WEST BEAVER,KEN THORALL,KEN THORALL
WEST BEAVER,KEN THORALL,KEN THORALL
YAKUTAT,BUREAU OF LAND MANAGEMENT,BUREAU OF LAND MANAGEMENT
YAKUTAT,CITY & BOROUGH OF YAKUTAT,CITY & BOROUGH OF YAKUTAT
YAKUTAT,CITY & BOROUGH OF YAKUTAT,CITY & BOROUGH OF YAKUTAT
YAKUTAT,ROBERT LEKANOF,ALASKA DOT&PF SOUTHCOAST REGION
