type,region,facilityname,manager,owner,ownertype
AIRPORT,MATANUSKA-SUSITNA,BROWN'S HOMESTEAD,BILL & KAYLENE BROWN,BILL & KAYLENE BROWN,INDIVIDUAL
AIRPORT,NOME,BUCK CREEK,NO MANAGER,MOODY,PUBLIC
AIRPORT,UNORGANIZED,BUCKLAND,ALVIN WERNEKE,US FEDERAL AVIATION ASSOCIATION,GOV
AIRPORT,ANCHORAGE,CAMPBELL AIRSTRIP,DAVE DOUCET,US BUREAU OF LAND MANAGEMENT,GOV
HELIPORT,ANCHORAGE,CAMPBELL BLM,DAVE DOUCET,WES ERB,GOV
SEAPLANE BASE,ANCHORAGE,CAMPBELL LAKE SPB,DR. JOHN SPARAGA,CAMPBELL LAKE OWNERS INC,GROUP
AIRPORT,UNORGANIZED,CANDLE 2,DAVID THACKER,ELITE PORTFOLIO LLC,CORP
AIRPORT,MATANUSKA-SUSITNA,CANTWELL,RAY ATKINS,BILL SIMMS,INDIVIDUAL
HELIPORT,WRANGELL-PETERSBURG,CAPE DECISION LIGHTHOUSE,CAPE DECISION LIGHTHOUSE SOCIETY,CAPE DECISION LIGHTHOUSE SOCIETY,GROUP
AIRPORT,BARROW,CAPE LISBURNE LRRS,US AIR FORCE,US AIR FORCE,GOV
AIRPORT,ALEUTIAN ISLANDS,CASCO COVE CGS,COMMANDER LORAN STATION,US COAST GUARD,GOV
HELIPORT,MATANUSKA-SUSITNA,COWELL'S,FULLER A. COWELL,FULLER A. COWELL,INDIVIDUAL
AIRPORT,MATANUSKA-SUSITNA,CUBDIVISION,LEE BUDDE,CUBDIVISION LOT OWNERS,GROUP
AIRPORT,MATANUSKA-SUSITNA,EAGLES ROOST,GUY TURNER,GUY TURNER,INDIVIDUAL
AIRPORT,ANCHORAGE,ELMENDORF AFB,AIRFIELD MGR,US AIR FORCE,GOV
HELIPORT,ANCHORAGE,ELMENDORF HOSPITAL,AIRFIELD MANAGER,US AIR FORCE,GOV
AIRPORT,ANCHORAGE,FIRE ISLAND,DISTRICT OFFICE MANAGER,US FEDERAL AVIATION ASSOCIATION,GOV
AIRPORT,MATANUSKA-SUSITNA,FISHER,ROBERT B. FISHER,ROBERT B. FISHER,INDIVIDUAL
AIRPORT,ANCHORAGE,FLYING CROWN,CHARLES FRYER,FLYING CROWN/OCEANVIEW NORTH,GROUP
AIRPORT,YUKON-KOYUKUK,GOLDEN NORTH AIRFIELD,DALE NORD,DALE NORD,INDIVIDUAL
AIRPORT,MATANUSKA-SUSITNA,H & H FIELD,ROBERT HUTCHISON,ROBERT HUTCHISON,INDIVIDUAL
SEAPLANE BASE,MATANUSKA-SUSITNA,HAGGARDS LANDING SEAPLANE BASE,NO MANAGER,WES ERB,INDIVIDUAL
SEAPLANE BASE,BETHEL,HANGAR LAKE,NO MANAGER,STATE OF ALASKA DOT&PF,PUBLIC
SEAPLANE BASE,MATANUSKA-SUSITNA,HOPPE'S,GREG M. HOPPE,GREG M. HOPPE,INDIVIDUAL
SEAPLANE BASE,MATANUSKA-SUSITNA,HORSESHOE LAKE,WILLIAM L. KRAMER,WILLIAM L. KRAMER,INDIVIDUAL
AIRPORT,ALEUTIAN ISLANDS,JOHNSONS LANDING,WARREN JOHNSON,PUBLIC DOMAIN,PUBLIC
SEAPLANE BASE,MATANUSKA-SUSITNA,JONES LANDING,ROBERT JONES,STATE OF AK DNR,GOV
AIRPORT,MATANUSKA-SUSITNA,KRAMER,WILLIAM L. KRAMER,ALASKA DOT&PF CENTRAL REGION,INDIVIDUAL
SEAPLANE BASE,MATANUSKA-SUSITNA,KUCERA,GRACE WHEDBEE,GRACE WHEDBEE,INDIVIDUAL
AIRPORT,MATANUSKA-SUSITNA,KUCERA RESIDENCE,GRACE WHEDBEE,NPS GLACIER BAY NATL PARK & PRES,INDIVIDUAL
SEAPLANE BASE,ANCHORAGE,LAKE HOOD,TIM COONS,STATE OF ALASKA DOT&PF,GOV
AIRPORT,SEWARD,LOWELL FIELD,DAN PRESLEY,DAN PRESLEY,INDIVIDUAL
SEAPLANE BASE,ALEUTIAN ISLANDS,MARION,MIKE GRAVES,MIKE GRAVES,INDIVIDUAL
AIRPORT,ANCHORAGE,MERRILL FIELD,PAUL BOWERS A.A.E.,H.P. HOLDINGS INC.,GOV
AIRPORT,MATANUSKA-SUSITNA,OWEN FIELD,MIKE GRAVES,ANCHOR RIVER AIRPARK OWNERS ASSOC,INDIVIDUAL
HELIPORT,ANCHORAGE,PROVIDENCE HOSPITAL,VICKI FACIANE,PROVIDENCE HEALTH SYSTEM,CORP
HELIPORT,ANCHORAGE,SADDLEBACK ISLAND,FULLER  A. COWELL,FULLER A. COWELL,INDIVIDUAL
AIRPORT,ANCHORAGE,SIXMILE LAKE,MAJOR ROBERT PECK,US AIR FORCE,GOV
AIRPORT,ANCHORAGE,SKY HARBOR,GORDON A. LEONARD,SKY HBR PRPTY OWNER ASSOC,GROUP
SEAPLANE BASE,KETCHIKAN GATEWAY,TAMGAS HARBOR,CHIEF OF POLICE,COUNCIL OF ANNETTE IS,GOV
HELIPORT,MATANUSKA-SUSITNA,TEAM LEVINE,LARRY A. LEVINE,LARRY A. LEVINE,INDIVIDUAL
AIRPORT,ANCHORAGE,TED STEVENS ANCHORAGE INTL,JOHN PARROTT,STATE OF ALASKA DOT&PF,GOV
AIRPORT,BRISTOL BAY,TRIPOD,NO MANAGER,GUY TURNER,PUBLIC
AIRPORT,MATANUSKA-SUSITNA,TWIN LAKE,EDMUND MONT MAHONEY,EDMUND MONT MAHONEY,INDIVIDUAL
HELIPORT,ANCHORAGE,VIKING,DANA PRUHS,PRUHS CORPORATION,CORP
SEAPLANE BASE,YUKON-KOYUKUK,VOR LAKE WATERLANE,JEREMY WORRALL,STATE OF AK DOTPF N REG,GOV
AIRPORT,MATANUSKA-SUSITNA,WEST BEAVER,KEN THORALL,KEN THORALL,INDIVIDUAL
SEAPLANE BASE,MATANUSKA-SUSITNA,WEST BEAVER,KEN THORALL,BILL & KAYLENE BROWN,INDIVIDUAL
AIRPORT,NORTH SLOPE,WILEY POST-WILL ROGERS MEMORIAL,JOHN OLSEN,ALASKA DOT&PF NORTHERN REGION,GOV
