101.genre,Thriller,Short
32.genre,Horror,Action
31.genre,Crime,Action
63.genre,Fantasy,Documentary
92.genre,Adventure,Comedy
192.genre,Crime,Comedy
89.genre,Thriller,Action
191.genre,Drama,Short
25.genre,Horror,Action
86.genre,Animation,Comedy
176.genre,Family,Comedy
121.genre,Short,Comedy
103.genre,Documentary,Drama
166.genre,Fantasy,Comedy
88.genre,Adventure,Horror
185.genre,Horror,Thriller
188.genre,Thriller,Drama
196.genre,Horror,Comedy
113.genre,Animation,Comedy
65.genre,Animation,Comedy
76.genre,Fantasy,Drama
106.genre,Crime,Comedy
97.genre,Horror,Fantasy
151.genre,Thriller,Comedy
85.genre,Documentary,Comedy
174.genre,Comedy,Crime
73.genre,Action,Thriller
98.genre,Short,Fantasy
104.genre,Family,Drama
199.genre,Horror,Crime
81.genre,Crime,Drama
82.genre,Crime,Comedy
175.genre,Family,Action
71.genre,Adventure,Action
102.genre,Family,Short
99.genre,Horror,Crime
170.genre,Drama,Comedy
10.genre,Animation,Comedy
8.genre,Fantasy,Action
189.genre,Short,Comedy
