93.year,2014,2013
55.year,2014,2013
59.rating,TV-14,TV-MA
20.year,2014,2013
10.rating,R,TV-14
8.year,2013,2014
97.year,2014,2013
34.rating,PG-13,TV-14
101.year,2014,2013
30.year,2014,2013
81.year,2013,2014
81.rating,TV-14,TV-MA
27.rating,TV-MA,TV-14
97.rating,TV-14,R
49.rating,R,Not Rated
76.year,2013,2014
59.year,2014,2013
16.year,2013,2014
14.rating,PG-13,TV-14
23.rating,PG,TV-14
31.year,2014,2013
2.rating,TV-MA,TV-14
10.year,2013,2014
95.rating,PG,TV-14
43.rating,R,TV-14
29.rating,Not Rated,TV-14
8.rating,R,TV-14
79.rating,R,TV-MA
14.year,2014,2013
77.rating,PG,TV-MA
27.year,2014,2013
3.year,2014,2013
