91.type,TV-MA,episode
89.type,PG,episode
71.type,TV-14,episode
189.genre,Documentary,Short
84.genre,Action,Drama
167.genre,Documentary,Comedy
7.type,episode,movie
185.genre,Documentary,Drama
168.type,TV-MA,R
51.type,TV-PG,movie
186.genre,Sci-Fi,Drama
76.type,Not Rated,movie
175.genre,Romance,Comedy
197.genre,Documentary,Horror
97.genre,Romance,Reality-TV
86.type,TV-MA,episode
182.genre,Reality-TV,Thriller
199.genre,Adventure,Horror
199.type,PG,Not Rated
186.type,TV-MA,TV-14
99.type,Unrated,episode
194.type,R,Not Rated
72.type,PG-13,episode
158.type,TV-MA,TV-14
178.genre,Musical,Horror
87.type,TV-14,movie
72.genre,Music,Short
172.genre,Biography,Horror
73.genre,Drama,Biography
200.type,PG,TV-PG
169.genre,Sci-Fi,Short
191.genre,Reality-TV,Family
185.type,movie,TV-MA
169.type,TV-14,Unrated
181.type,PG,TV-14
119.genre,Crime,Action
176.genre,Sci-Fi,Comedy
88.genre,Sci-Fi,Action
190.genre,Horror,Action
93.type,Unrated,episode
